LAT,LONG
19.43770556,57.21640333
22.95153583,47.41876667
22.95575361,54.19745139
22.95703667,54.19798694
22.96187806,54.15628722
22.97384222,47.40955306
22.97536806,53.79192861
22.99360389,48.31484194
22.99449556,48.20543528
22.99527778,54.2139225
22.99540444,54.21396972
22.99594667,48.21086889
22.99726889,48.20955972
23.00144333,47.43571861
23.0017925,47.43556806
23.00221972,53.43514528
23.00227528,53.43520694
23.00572972,47.45783861
23.0112675,48.201275
23.01272694,48.04015528
23.01627,48.15628806
23.01984806,53.48143111
23.02011972,54.1391575
23.02013722,54.13885417
23.02042583,48.16251722
23.02434667,54.13086444
23.02763722,53.49130389
23.03755972,48.20405972
23.04632222,54.11289389
23.04819722,48.17180778
23.05339944,54.11906972
23.05382917,48.07068306
23.05420139,54.08036
23.0545275,48.06895111
23.05469083,54.0705125
23.05476278,54.07092028
23.05488056,48.06890833
23.05490417,54.07076667
23.05491417,54.07063889
23.05492722,54.07075083
23.05494917,54.068895
23.05503583,48.06874972
23.05509556,54.06852389
23.05546417,54.07084528
23.05560861,48.06927056
23.05579972,53.54625333
23.05585139,54.07004028
23.05594278,48.06941028
23.05604028,54.07013861
23.0564,48.06694972
23.05654889,48.07058611
23.05722694,48.06777444
23.05731278,48.06862361
23.05755361,48.06822667
23.05994167,54.07015417
23.06028944,48.06991944
23.06042583,54.07054389
23.06085444,54.06578278
23.06094444,54.05861361
23.06103611,48.07432167
23.06170639,54.06502139
23.06248778,54.06780167
23.06315889,48.08509361
23.06349278,48.07340889
23.06399583,54.04629861
23.07237417,54.04926083
23.07239417,48.09264361
23.07701361,54.05709056
23.07889667,48.02997028
23.08512944,53.7627225
23.085615,53.76222528
23.08832861,53.76149056
23.08856556,48.03076639
23.08878639,54.04317389
23.08881111,48.043305
23.08928917,53.76544306
23.08935139,53.76300222
23.08950417,53.7650325
23.08960111,53.76509167
23.08972861,53.76256444
23.08981056,47.76450306
23.09031667,54.00855139
23.09047583,48.00856722
23.09054139,47.76206722
23.0905525,47.76196861
23.09058972,47.7619025
23.09064444,53.76426944
23.09068556,48.00877361
23.09077528,47.76254972
23.09173083,53.76435167
23.09175472,53.75966944
23.09200694,53.76047917
23.09207583,47.76406611
23.09213222,53.76098806
23.09213667,47.76151
23.0922425,53.7614275
23.09235306,53.76372694
23.09236111,53.76383861
23.09251417,53.76505972
23.09253417,47.76303111
23.09278611,53.76319472
23.093045,53.76528306
23.09309028,53.76496139
23.09310472,47.76499417
23.09322944,53.76448722
23.09323222,53.76446
23.09336222,47.76527028
23.09337917,53.7662725
23.09345528,47.76208667
23.09394667,53.76558556
23.09404167,53.7657325
23.10050472,53.81628583
23.10093611,53.815575
23.10249139,47.71148556
23.10257583,47.71155583
23.10346278,47.58266972
23.10387111,53.71687083
23.10511611,53.72570667
23.10514028,53.72578194
23.10525333,47.57522472
23.10546472,47.7260025
23.10694278,47.72876361
23.10702222,47.68199806
23.10708278,53.68204778
23.10709028,53.68206694
23.10711694,53.72877861
23.10712528,53.7287375
23.1071425,47.72870861
23.107175,53.72857389
23.10727389,53.72780194
23.10742167,53.68143472
23.1074725,53.57939806
23.10747556,53.68194833
23.10760972,53.57936278
23.10953056,47.79421861
23.11003972,47.60009194
23.11006833,53.60008917
23.1101325,47.60157472
23.11016722,47.72686222
23.11079806,47.79718694
23.11085472,47.79768778
23.11124806,47.6019
23.11190472,47.60029111
23.11199194,53.88166583
23.11219778,47.88173139
23.11226361,53.88135444
23.11252972,47.88188361
23.11388861,47.92917778
23.11398611,47.92889889
23.11421861,47.92835194
23.11534639,47.79407361
23.11535778,47.8823375
23.11536972,53.60698972
23.11539639,53.60697806
23.11541444,47.60683083
23.11633222,53.67815528
23.11653556,47.60558944
23.11670889,47.79257278
23.11707278,53.92460556
23.11810944,47.71661722
23.11824194,47.71651611
23.11869278,47.60900778
23.11887667,53.95352139
23.11918972,47.95353556
23.11926389,53.95183028
23.11944944,53.674645
23.12001722,53.92005472
23.12038333,47.91965472
23.12054278,47.95874194
23.12057528,47.93218583
23.12138222,47.97836444
23.12152556,53.97412861
23.12239556,53.736855
23.12256417,47.80706167
23.12267167,47.88956333
23.12300611,47.88927389
23.12312694,47.80733972
23.12313833,47.80705778
23.12344083,47.83254361
23.12346278,47.80743583
23.12350667,47.80740833
23.12356389,47.8331675
23.12370556,47.73257722
23.12375611,47.80751694
23.12383444,47.75464083
23.12384333,47.80745528
23.12468194,47.85604111
23.12479556,47.80751028
23.12528833,47.79955361
23.12594972,47.75513417
23.12599056,53.754945
23.12610889,47.78748139
23.12618167,53.79945611
23.12622028,53.81258722
23.12623167,47.80696056
23.12627028,53.81246194
23.12632944,53.81316639
23.12654083,47.79951806
23.12676333,53.81238222
23.12699639,47.83456444
23.12827528,47.91235389
23.12837,47.92916694
23.12865639,47.98120056
23.12881222,47.98163139
23.12908889,53.74094528
23.1291,47.74066111
23.12913917,53.74080639
23.12933528,53.81577972
23.12949111,47.70456583
23.12958194,47.9809425
23.129715,53.98250056
23.130175,47.81422167
23.13046194,47.80012528
23.13055528,47.82424083
23.13060611,47.79802417
23.13081778,47.80253389
23.13090778,47.80244528
23.13130667,47.90756778
23.13152611,47.90770333
23.13162833,53.80146028
23.13193833,53.75737806
23.13208611,53.79649972
23.1321775,53.77231889
23.13219833,47.80421028
23.13224806,47.80606944
23.13226556,47.80321361
23.13227583,53.80319028
23.13227889,47.70758583
23.13228222,53.70733917
23.13229583,53.70714472
23.13231361,47.80460028
23.13233028,53.80253
23.13234083,47.76042222
23.13235111,53.80448139
23.13237361,47.80427278
23.13238639,53.80252917
23.13241889,47.80150583
23.13242194,53.80422222
23.13243306,47.80437111
23.13244528,53.80237
23.13246556,47.80450361
23.13247056,53.80434806
23.13247361,53.80439611
23.1324775,47.80405806
23.13253694,53.80243056
23.13253694,53.80447722
23.13254833,47.80417444
23.13256472,47.80408389
23.13256778,53.75830917
23.13258222,47.79999472
23.13263417,47.80429639
23.13264333,47.79110222
23.13265611,47.80006972
23.13266639,53.80384833
23.13277139,53.76034417
23.13324306,47.82738889
23.13333444,47.88523694
23.13334167,47.79261722
23.13336639,53.80327
23.13341361,53.80328083
23.13354861,53.7970375
23.13359056,53.7968725
23.1336,53.79674778
23.13367417,53.87767889
23.13371639,47.75951417
23.13409361,53.79618139
23.13411833,53.79617083
23.13417722,59.85664333
23.13430167,47.82675694
23.13437806,47.79739167
23.13446306,47.797765
23.13458694,47.88550222
23.13519694,53.96789556
23.13569972,47.74582444
23.13571417,47.82678111
23.13589694,53.90621694
23.13597917,47.79686611
23.13601917,53.79665306
23.13604083,53.79695528
23.13611222,53.8211025
23.136115,47.90654167
23.13616222,53.90645972
23.13623222,47.74608639
23.13628,47.74587167
23.13630806,53.74593139
23.13635167,47.77470833
23.13636556,47.74559472
23.13642111,47.79700361
23.13663083,47.79697722
23.13668389,47.89468417
23.13670778,47.79686583
23.13671528,47.79695861
23.13678306,47.89441667
23.13699111,53.79686778
23.13713944,53.89470194
23.13721917,53.82721167
23.13741972,47.81701333
23.13743667,53.69098
23.13753,47.79680806
23.13755167,47.74243444
23.13756639,53.69083972
23.13757222,53.690975
23.13765278,47.78461667
23.13775722,47.7968025
23.13789694,53.74323917
23.13797444,47.79690528
23.13803778,47.7999375
23.138125,47.74248722
23.13816917,53.74955444
23.13835583,53.79990778
23.13837167,53.79673361
23.13837861,47.79675194
23.13842944,47.79680861
23.13848722,47.79721028
23.13860361,47.90981611
23.13878472,47.79664694
23.13887472,47.90981972
23.13904889,47.79691639
23.13952028,47.80063778
23.13999056,47.89421444
23.14014472,53.79633722
23.14023694,47.79621528
23.14029583,47.79630389
23.14033444,47.79631306
23.14040333,53.79625556
23.14046944,53.79632611
23.14048944,47.79631833
23.14056583,53.79613833
23.14057639,53.79620111
23.1406075,53.79619778
23.14061222,47.79629139
23.14202639,47.79755361
23.14242306,47.75244583
23.142725,47.75939139
23.14324417,53.88309167
23.14396528,53.67972611
23.14423083,47.79621694
23.14431417,53.79626944
23.14438167,47.81670167
23.14486306,48.04026722
23.14570417,47.88919194
23.14590917,47.79675861
23.14592111,48.03526694
23.14628194,53.76208694
23.14639861,47.79795778
23.14645028,53.76221389
23.14809194,53.90458444
23.14859222,47.74467611
23.1486,47.74455972
23.14950972,53.68491056
23.14963083,53.74200306
23.15039,48.03812056
23.15049194,47.74239833
23.15168167,47.74570639
23.15241194,53.69031056
23.15367028,53.82714889
23.153935,53.75829111
23.15505028,53.90312444
23.15515222,47.74849583
23.15526917,53.75139083
23.15720444,47.80232889
23.158095,53.75748194
23.15860333,53.75340222
23.16014861,47.716105
23.1608425,53.73786139
23.16089389,53.73797333
23.1609725,53.738195
23.16255833,53.79344389
23.16371,47.75988583
23.16860444,47.8022125
23.18045806,47.88067722
23.21069417,54.35970111
23.21232778,54.3603375
23.23989194,53.79841444
23.24068694,53.78520028
23.24973806,54.31885889
23.2522575,54.31647056
23.26393,47.78652222
23.26940222,53.7912
23.26976028,53.79491361
23.27057139,53.78580278
23.27184861,54.28604083
23.28090861,53.78462167
23.28566972,53.78518167
23.28584722,53.78466167
23.28598667,53.78450806
23.28617222,47.7911325
23.29736917,47.80820194
23.30153472,47.78452
23.30335111,47.80967639
23.30477333,47.81151167
23.31489278,47.81865194
23.32635083,47.81161472
23.33332806,53.77371333
23.33555056,47.81291639
23.33753111,47.81036889
23.34454111,47.77830472
23.3497825,47.8075625
23.4170075,55.42379111
23.47303389,54.40377444
23.47360722,54.40234528
23.47449278,54.40248583
23.48218472,54.39854861
23.53028889,53.78830472
23.531055,53.78792056
23.53587167,47.76482361
23.538315,53.76840722
23.53917,53.78587972
23.543625,54.88658111
23.544425,53.78371806
23.54488889,53.78329861
23.54734944,53.78333833
23.55020778,53.75755556
23.56247278,47.75507778
23.56256278,47.75458833
23.56299278,53.75515333
23.56375056,47.752415
23.56378389,47.75326
23.56380167,53.7527875
23.56457528,53.75368194
23.56536917,53.75319889
23.56829528,53.74846917
23.56861472,53.74665444
23.56879028,53.72816444
23.60280667,47.70821917
23.60364278,53.71098278
23.604325,53.70933472
23.60478278,53.71089167
23.60575028,53.69960556
23.60581972,47.70436389
23.60722194,53.71246889
23.608065,53.72033222
23.6087175,53.71450417
23.60876444,53.70590389
23.61042806,47.7077875
23.6169975,53.70326833
23.62278778,52.96755806
23.62360806,53.70220528
23.62482667,53.71463694
23.62564917,53.70172083
23.62625611,47.70001889
23.62736528,53.71199778
23.62771889,47.73347167
23.62821722,47.729695
23.62828389,47.73079778
23.62876472,47.72922333
23.62921417,47.71197722
23.63070278,53.72811333
23.63091944,53.72833194
23.631015,53.72819333
23.6314525,53.71256528
23.63148806,53.7288825
23.63165111,47.71277139
23.63302778,53.008615
23.63317528,53.71307694
23.63362722,52.96187639
23.63438083,47.71097389
23.63621861,47.71297528
23.63653944,47.69506917
23.63656306,53.69555056
23.63661972,47.72591528
23.63691444,53.69586
23.63854972,47.71144778
23.63856222,47.71169861
23.63967889,47.69880667
23.63987611,47.69862556
23.63995194,53.69253806
23.64067444,53.68076333
23.64097667,53.69560417
23.64104417,53.69602889
23.64128583,53.70027833
23.64129556,47.71068389
23.641325,53.70122861
23.64133139,47.71069917
23.64135056,53.69663583
23.642475,47.685965
23.64261444,53.68589556
23.64284167,53.70668111
23.64288972,53.70676778
23.64294528,47.70734083
23.64309611,53.70730111
23.64314917,53.70731306
23.6439625,53.68422167
23.64413778,47.68955778
23.64594722,47.70815333
23.64620833,47.70581778
23.64632833,53.7069125
23.64633306,53.62420444
23.64717417,47.70526639
23.64727667,53.68444917
23.64745111,47.70593361
23.64770611,47.69849833
23.64774167,52.90948889
23.64775972,47.69408083
23.64777417,47.62399694
23.64810361,53.70166944
23.64823278,47.6215775
23.64830111,47.70567639
23.6483125,47.70399472
23.64836,53.62479583
23.64837611,47.61887917
23.64855139,53.62553889
23.64869194,53.62590389
23.64894306,47.69628139
23.64951444,52.98256806
23.6499875,53.70500972
23.65010972,47.72678306
23.65044167,47.69027833
23.650445,53.69910417
23.65047056,47.71511083
23.6505775,47.61870889
23.6507625,53.68715944
23.6508625,53.69394833
23.65089917,47.6976375
23.65098972,47.69026417
23.65119278,47.6941925
23.65119361,47.62091917
23.65126972,47.70871528
23.65134167,47.69367278
23.65136806,47.69334222
23.65142972,47.71155028
23.651465,53.61262944
23.65148083,53.70797722
23.65159528,47.71181083
23.651625,53.72397056
23.65170861,53.69608333
23.65176167,53.72471278
23.65178667,53.72464333
23.65185111,53.724185
23.65189722,47.61570694
23.65194083,47.69614306
23.65196194,47.70968667
23.65202306,47.61658722
23.65205528,47.70535583
23.65208167,47.71427
23.65212472,53.7058425
23.6521775,53.71173972
23.65219722,47.70558111
23.65224972,53.72284861
23.65225472,47.70579667
23.65231167,47.70567972
23.65231917,47.7092425
23.65235694,47.70933639
23.65238722,47.70939944
23.65241972,47.69346667
23.65248417,53.73045889
23.65258333,47.71408306
23.65268944,53.72735472
23.65269472,53.70555028
23.65273389,53.72265972
23.65285139,53.72275194
23.65291917,47.69402667
23.65294278,47.71003722
23.652945,53.70553139
23.65294917,53.72903667
23.65299167,53.72259139
23.65315528,47.71532611
23.65331056,47.70560139
23.65331639,47.71434778
23.65333556,47.71501528
23.65333972,47.69766667
23.65337444,47.71334056
23.653395,47.69277472
23.65343889,53.72237833
23.6534425,53.7058975
23.65344444,47.61483444
23.65346361,53.72230917
23.65352972,47.68059972
23.65353667,53.72229444
23.6536,47.70361972
23.65361639,53.69518861
23.65363028,47.71314722
23.65368083,53.70368806
23.65368167,53.703725
23.65370167,47.69814917
23.65370861,47.70357722
23.65372528,53.69518972
23.65376,47.70364
23.65376361,47.703705
23.65376556,47.7034925
23.65382528,47.70365278
23.65383556,47.6889875
23.65383889,53.69504528
23.65383944,53.72214944
23.65384556,47.7034925
23.65389667,47.68785028
23.65391694,47.71303806
23.65395972,53.69675194
23.65396056,47.71401611
23.65396583,47.71299167
23.65396694,53.69509222
23.65397083,47.71558361
23.65399806,47.69540972
23.65400139,53.72209833
23.65405111,47.71426222
23.65405472,53.69892861
23.65405917,47.70357611
23.65409806,47.71425056
23.65415944,47.71394722
23.65422278,53.71441056
23.65430639,47.69782056
23.65431611,47.71448389
23.65432528,47.67216556
23.65433639,53.73281306
23.654345,53.69663222
23.65438472,47.69741056
23.65444583,53.72196972
23.65445,53.62965111
23.65445583,53.72311417
23.6544675,53.62962861
23.65448028,47.6721925
23.65449,47.71531667
23.65449889,47.65376
23.65449972,47.67152222
23.65453694,53.721815
23.65457306,47.67236722
23.65458361,47.72832972
23.65467167,47.72167861
23.65469056,53.72361667
23.65476333,53.72398667
23.65476417,53.72809056
23.65478667,53.72369972
23.65479361,53.72294639
23.65481472,53.72370667
23.65484722,53.72337528
23.65486306,53.72407833
23.65487528,53.72820222
23.65489139,47.61613278
